UWI,FM_TOP,DEPTH,GR,SP,CALX,RHOB,DPSS,NPSS,ILD,ILM,SFL,DT,FZI_CALC
102081000505W400,LMNV,1112.60,55.67,-48.60,210.07,2405.00,0.14,0.36,6.26,6.38,7.16,,4.04
102081000505W400,LMNV,1112.70,56.26,-50.40,206.31,2425.50,0.14,0.35,6.59,6.84,7.20,,0.50
102081000505W400,SBRS,1115.20,56.96,-67.49,204.46,2312.50,0.23,0.25,14.71,19.37,19.28,,3.24
102081000505W400,SBRS,1115.30,48.10,-71.17,204.44,2269.50,0.24,0.25,15.69,21.24,24.72,,2.30
102081000505W400,SBRS,1115.60,30.89,-76.72,204.61,2203.03,0.27,0.26,18.76,27.61,52.09,,9.07
102081000505W400,SBRS,1115.80,49.52,-78.11,204.81,2201.01,0.27,0.27,21.14,29.05,69.92,,7.83
102081000505W400,SBRS,1115.90,49.51,-78.60,205.03,2201.01,0.27,0.28,21.93,29.32,68.66,,4.62
102081000505W400,SBRS,1116.10,44.55,-80.00,205.00,2222.22,0.26,0.28,22.55,29.05,50.92,,3.08
102081000505W400,SBRS,1116.30,40.10,-79.80,205.25,2237.88,0.25,0.27,21.33,28.39,39.10,,6.37
102081000505W400,SBRS,1116.50,43.07,-78.60,205.50,2262.50,0.23,0.25,19.02,25.53,34.41,,5.73
102081000505W400,SBRS,1116.70,43.66,-76.50,205.50,2296.50,0.21,0.24,16.07,22.55,30.00,,2.81
102081000505W400,SBRS,1116.90,42.03,-71.50,205.75,2337.00,0.19,0.24,14.47,19.46,23.83,,0.69
102081000505W400,SBRS,1117.10,52.80,-65.70,206.00,2378.22,0.17,0.25,13.39,15.35,19.46,,0.37
102081000505W400,SBRS,1117.40,55.65,-57.43,206.25,2434.50,0.13,0.26,11.84,12.97,13.57,,0.27
100162100505W400,LMNV,1073.30,59.03,-39.86,227.51,2502.74,0.09,0.29,9.35,9.94,8.73,256.10,3.11
100162100505W400,LMNV,1073.60,54.23,-40.48,224.30,2491.74,0.09,0.30,10.51,11.03,9.86,258.39,4.21
100162100505W400,LMNV,1073.90,56.35,-40.31,224.07,2499.96,0.10,0.30,11.33,11.70,9.65,262.04,3.91
100162100505W400,LMNV,1074.30,62.43,-40.37,224.67,2515.93,0.09,0.30,12.23,12.60,10.41,262.64,2.03
100162100505W400,LMNV,1074.60,66.65,-41.40,224.26,2547.60,0.07,0.29,13.14,13.61,11.43,262.44,12.53
100162100505W400,LMNV,1074.90,67.29,-43.36,223.72,2549.93,0.06,0.28,14.41,14.90,12.11,263.53,3.42
100162100505W400,SBRS,1075.40,62.12,-52.23,222.31,2492.14,0.09,0.27,18.77,19.93,14.53,257.48,6.64
100162100505W400,SBRS,1075.70,54.43,-63.21,220.09,2443.54,0.11,0.26,22.27,24.73,21.23,250.89,3.50
100162100505W400,SBRS,1075.90,48.62,-68.83,218.60,2418.17,0.13,0.25,24.04,26.41,26.64,254.14,1.80
100162100505W400,SBRS,1076.20,44.15,-73.32,217.10,2408.71,0.14,0.26,26.40,27.14,25.87,269.50,5.82
100162100505W400,SBRS,1076.70,53.99,-69.44,217.69,2417.54,0.14,0.29,25.35,25.01,20.18,283.62,7.04
100162100505W400,SBRS,1077.00,53.88,-66.92,213.93,2426.63,0.14,0.29,23.09,23.37,20.52,286.45,6.26
100162100505W400,SBRS,1077.30,53.47,-65.18,212.40,2451.71,0.13,0.26,21.77,22.30,20.13,284.81,2.56
100162100505W400,SBRS,1077.70,55.20,-62.33,216.37,2466.28,0.11,0.26,19.70,19.74,18.19,281.35,3.00
100162100505W400,SBRS,1078.20,62.97,-64.91,218.24,2444.15,0.12,0.26,17.57,17.48,15.47,278.58,1.96
100162100505W400,SBRS,1078.50,58.47,-69.27,219.08,2418.66,0.13,0.26,16.84,16.99,15.61,282.01,1.06
100162100505W400,SBRS,1078.70,54.96,-70.33,218.99,2410.06,0.14,0.26,16.75,17.02,15.90,283.81,2.07
100162100505W400,SBRS,1079.10,56.16,-67.48,218.02,2405.41,0.15,0.26,17.09,17.54,16.05,286.30,2.84
100162100505W400,SBRS,1079.40,53.60,-63.54,217.70,2401.92,0.15,0.27,17.36,17.88,16.31,287.50,3.84
100162100505W400,SBRS,1079.90,51.48,-58.02,217.43,2415.89,0.14,0.28,17.03,17.21,16.49,289.83,8.15
100162100505W400,SBRS,1080.30,54.53,-54.59,219.03,2421.25,0.14,0.28,16.09,15.79,14.58,288.47,2.72
100162100505W400,SWFT,1080.80,62.83,-52.41,220.75,2407.47,0.15,0.28,15.11,15.02,13.75,288.20,3.24
100162100505W400,SWFT,1081.40,68.12,-52.57,219.94,2398.44,0.16,0.27,14.55,14.69,13.73,292.77,2.25
100162100505W400,SWFT,1082.30,74.63,-55.62,217.64,2393.70,0.15,0.29,13.77,13.67,13.10,300.94,2.09
100162100505W400,SWFT,1082.60,94.07,-52.65,218.22,2396.54,0.15,0.29,13.55,13.63,12.94,298.45,1.58
100162100505W400,SWFT,1082.90,98.77,-50.93,218.37,2406.97,0.15,0.28,13.27,13.42,13.42,295.73,2.33
100162100505W400,SWFT,1083.30,81.86,-47.16,219.41,2399.26,0.15,0.28,12.94,12.85,12.64,297.17,1.70
100162100505W400,SWFT,1083.80,75.98,-45.55,219.90,2380.21,0.16,0.31,12.46,12.42,11.70,301.36,2.01
100162100505W400,SWFT,1084.10,76.75,-47.71,217.96,2378.95,0.16,0.30,12.07,12.28,11.86,303.32,3.28
100162100505W400,SWFT,1084.40,77.70,-48.63,216.68,2385.11,0.16,0.29,11.79,11.97,12.17,303.47,1.55
100162100505W400,SWFT,1084.90,77.67,-45.12,218.54,2397.26,0.15,0.30,11.16,11.12,11.09,304.24,1.03
100162100505W400,SWFT,1085.30,76.83,-43.08,218.29,2389.96,0.15,0.30,10.46,10.41,10.76,305.40,1.75
100162100505W400,SWFT,1085.60,78.54,-41.98,218.58,2385.51,0.16,0.29,9.98,9.94,10.31,310.14,2.40
100162100505W400,SWFT,1085.90,83.92,-41.76,219.06,2391.55,0.16,0.31,9.84,9.79,10.08,312.33,2.14
100162100505W400,SWFT,1086.40,81.89,-43.13,219.30,2398.21,0.15,0.28,10.07,10.30,10.09,307.77,1.76
100162100505W400,SWFT,1086.90,72.61,-48.38,218.58,2395.19,0.15,0.29,10.60,10.96,11.42,303.08,3.36
100162100505W400,SWFT,1087.30,72.83,-48.03,217.24,2390.61,0.16,0.28,10.65,10.69,11.26,306.19,4.49
100162100505W400,SWFT,1087.60,79.24,-45.99,216.18,2384.99,0.16,0.28,10.32,10.09,10.34,311.23,0.96
100162100505W400,SWFT,1087.90,83.40,-44.34,215.88,2385.81,0.15,0.28,10.02,9.90,9.46,313.36,2.72
100162100505W400,SWFT,1088.20,81.41,-44.66,215.85,2394.65,0.15,0.31,9.78,9.88,9.89,311.90,1.71
100162100505W400,SWFT,1088.50,81.84,-44.95,217.03,2405.28,0.15,0.28,9.76,10.05,10.21,307.83,1.58
100162100505W400,SWFT,1088.80,82.43,-45.82,217.28,2405.67,0.15,0.28,9.80,10.07,10.45,304.93,1.48
100162100505W400,SWFT,1089.10,78.92,-45.39,217.40,2409.14,0.14,0.29,9.64,9.76,10.44,304.51,1.16
100162100505W400,SWFT,1089.40,81.03,-43.27,217.91,2402.54,0.15,0.29,9.32,9.38,9.79,307.09,3.85
100162100505W400,SWFT,1089.80,84.24,-41.26,218.20,2403.78,0.15,0.30,8.84,8.77,9.35,312.27,2.42
100162100505W400,SWFT,1090.20,85.22,-41.00,218.32,2411.05,0.15,0.30,8.72,8.75,8.60,316.10,0.35
100162100505W400,SWFT,1090.40,85.72,-42.16,218.02,2418.69,0.14,0.30,8.75,8.89,8.95,312.79,0.37
100162100505W400,SWFT,1090.70,82.53,-44.19,217.31,2414.12,0.14,0.30,8.84,9.16,9.77,308.95,0.51
100162100505W400,SWFT,1091.00,78.63,-44.68,217.93,2410.73,0.14,0.29,8.95,9.24,9.68,310.30,0.71
100161100505W400,LMNV,1108.80,51.09,-52.28,195.65,2586.50,0.04,0.27,9.26,11.33,19.54,,0.49
100161100505W400,LMNV,1109.10,49.31,-61.20,195.65,2528.47,0.07,0.25,15.51,16.55,21.91,,0.49
100161100505W400,LMNV,1109.30,48.69,-65.19,195.65,2500.37,0.09,0.24,15.51,17.98,21.61,,0.51
100161100505W400,LMNV,1109.50,53.59,-68.76,195.55,2471.12,0.11,0.24,15.51,17.09,19.10,,0.43
100161100505W400,LMNV,1109.60,58.06,-70.34,195.45,2455.02,0.11,0.25,15.44,17.01,16.40,,0.54
100161100505W400,LMNV,1109.80,74.31,-73.92,195.45,2454.01,0.12,0.26,15.23,17.01,13.26,,0.51
100161100505W400,LMNV,1110.00,90.00,-76.90,195.45,2468.51,0.11,0.28,15.09,16.86,13.07,,0.60
100161100505W400,LMNV,1110.30,93.27,-82.28,195.45,2449.00,0.12,0.29,14.81,16.32,16.55,,0.60
100161100505W400,LMNV,1110.50,84.60,-86.14,195.45,2421.50,0.13,0.28,14.74,16.10,17.90,,0.77
100161100505W400,LMNV,1110.70,72.46,-88.52,195.45,2396.01,0.15,0.27,14.60,15.87,18.22,,0.85
100161100505W400,LMNV,1110.90,67.22,-89.70,195.45,2385.02,0.16,0.27,14.59,15.71,17.47,,0.73
100161100505W400,SBRS,1111.30,63.30,-90.90,195.45,2367.50,0.17,0.31,14.58,15.62,16.51,,0.78
100161100505W400,SBRS,1111.60,50.05,-90.90,195.65,2315.35,0.20,0.32,14.64,15.61,18.08,,0.43
100161100505W400,SBRS,1112.80,67.65,-74.00,195.45,2446.15,0.12,0.28,16.42,17.67,14.71,,0.76
100161100505W400,SBRS,1113.00,67.95,-77.10,195.45,2450.02,0.12,0.29,17.35,19.02,18.58,,0.62
100161100505W400,SBRS,1113.40,52.87,-85.35,195.45,2309.00,0.20,0.32,20.66,22.03,26.01,,2.78
100161100505W400,SBRS,1114.40,37.18,-87.22,195.45,2238.46,0.25,0.32,22.13,24.72,25.07,,1.73
100161100505W400,SBRS,1114.60,38.66,-84.23,195.45,2254.00,0.24,0.32,20.28,22.65,27.11,,2.37
100161100505W400,SBRS,1115.00,58.35,-72.48,195.45,2348.04,0.18,0.28,17.43,18.16,18.41,,0.29
100161100505W400,SBRS,1115.30,78.45,-60.80,195.45,2531.00,0.08,0.26,15.61,15.83,12.24,,0.35
100161100505W400,SBRS,1115.60,89.70,-52.97,195.45,2542.00,0.06,0.30,13.98,14.37,11.59,,0.16
100161100505W400,SBRS,1116.20,76.65,-56.24,195.45,2478.42,0.11,0.30,14.46,15.63,15.41,,3.46
100161100505W400,SBRS,1116.40,68.55,-63.30,195.25,2449.82,0.12,0.29,14.87,16.14,19.64,,0.70
100161100505W400,SBRS,1116.60,59.41,-70.10,195.45,2422.22,0.14,0.28,15.49,16.74,19.02,,3.03
100161100505W400,SBRS,1116.90,58.81,-76.73,195.45,2405.58,0.15,0.28,16.45,17.21,17.69,,2.23
100161100505W400,SBRS,1117.50,44.40,-78.91,195.25,2307.96,0.21,0.30,16.76,18.43,24.38,,0.29
100161100505W400,SBRS,1117.70,44.10,-81.00,195.25,2293.50,0.22,0.31,16.69,17.63,21.25,,0.81
100161100505W400,SBRS,1117.90,48.12,-84.00,195.25,2314.87,0.20,0.31,16.71,17.40,18.21,,1.33
100161100505W400,SBRS,1118.50,51.39,-86.80,195.65,2325.51,0.20,0.29,18.25,19.37,20.94,,1.70
100161100505W400,SBRS,1119.20,51.68,-86.20,195.45,2284.94,0.22,0.30,19.55,21.43,22.34,,1.46
100161100505W400,SWFT,1120.00,56.14,-78.91,195.85,2328.51,0.20,0.28,16.07,17.21,18.17,,0.93
100161100505W400,SWFT,1120.60,86.55,-64.80,195.85,2442.27,0.12,0.30,12.97,13.39,13.70,,0.92
100161100505W400,SWFT,1121.30,108.45,-61.30,198.23,2462.09,0.12,0.32,10.42,11.11,10.32,,0.60
100131200505W400,SBRS,1116.30,56.99,-64.50,,2269.63,0.24,0.31,14.27,15.64,29.73,293.18,0.77
100131200505W400,SBRS,1116.40,52.40,-64.95,,2268.14,0.23,0.31,14.80,16.36,30.00,289.79,3.73
100131200505W400,SBRS,1116.50,49.15,-64.95,,2289.65,0.21,0.30,15.35,16.97,29.32,286.71,2.59
100131200505W400,SBRS,1116.70,44.57,-63.75,,2324.92,0.18,0.29,15.85,17.28,26.25,282.68,1.88
100131200505W400,SBRS,1116.80,43.25,-63.00,,2346.22,0.17,0.28,15.85,17.13,24.38,281.72,1.12
100131200505W400,SBRS,1117.10,45.08,-60.75,,2414.56,0.14,0.28,15.64,16.36,16.51,291.74,1.54
100131200505W400,SBRS,1117.20,45.57,-60.90,,2418.53,0.14,0.29,15.35,16.36,16.36,294.05,0.81
100131200505W400,SBRS,1117.30,45.83,-61.20,,2427.45,0.17,0.30,15.21,16.36,16.97,292.94,0.86
100131200505W400,SBRS,1117.40,46.10,-61.80,,2384.24,0.18,0.31,15.14,16.36,19.20,291.83,3.70
100131200505W400,SBRS,1117.50,46.85,-62.55,,2354.75,0.19,0.31,15.21,16.36,21.14,290.72,3.12
100131200505W400,SBRS,1117.90,52.02,-63.30,,2432.46,0.13,0.29,15.42,16.36,17.28,289.53,1.54
100131200505W400,SBRS,1118.00,54.05,-64.35,,2430.99,0.13,0.30,15.49,16.36,16.51,291.03,1.89
100131200505W400,SBRS,1118.10,54.31,-66.00,,2402.78,0.16,0.30,15.49,16.36,18.34,291.82,2.35
100131200505W400,SBRS,1118.20,54.57,-67.35,,2374.32,0.18,0.30,15.49,16.36,20.28,292.61,1.95
100131200505W400,SBRS,1118.30,52.48,-68.55,,2353.83,0.18,0.29,15.49,16.36,22.03,292.51,1.38
100131200505W400,SBRS,1118.40,50.39,-68.85,,2353.84,0.19,0.29,15.35,16.22,24.16,292.41,2.20
100131200505W400,SBRS,1118.50,48.76,-68.85,,2363.35,0.18,0.30,15.21,16.07,25.18,291.43,0.46
100131200505W400,SBRS,1118.80,46.22,-65.25,,2413.24,0.15,0.30,14.80,15.64,19.73,288.33,0.28
100131200505W400,SBRS,1119.30,55.21,-56.96,,2421.22,0.15,0.33,14.02,14.68,15.15,293.10,0.10
100131200505W400,SBRS,1119.50,57.89,-55.73,,2400.44,0.16,0.33,13.84,14.49,14.29,296.72,3.11
100131200505W400,SBRS,1119.60,59.18,-55.72,,2387.96,0.17,0.33,13.84,14.49,14.16,298.54,0.15
100112700505W400,SBRS,1088.60,33.18,-7.29,204.88,2284.67,0.22,0.28,23.11,29.31,24.29,291.84,3.21
100112700505W400,SBRS,1088.80,33.01,-7.31,203.13,2280.23,0.22,0.27,23.15,27.86,24.31,292.39,2.09
100112700505W400,SBRS,1089.00,33.03,-7.11,202.88,2284.08,0.22,0.27,22.65,26.89,23.11,292.41,1.46
100112700505W400,SBRS,1089.60,35.49,-8.38,205.13,2310.34,0.21,0.27,21.39,22.46,20.43,284.78,4.53
100112700505W400,SBRS,1090.00,35.23,-11.53,199.63,2332.41,0.19,0.26,19.78,19.80,18.58,281.19,4.17
100112700505W400,SBRS,1090.20,31.80,-12.17,199.33,2329.02,0.20,0.27,19.46,19.42,18.70,284.34,3.12
100112700505W400,SBRS,1090.40,28.72,-11.44,199.43,2315.66,0.20,0.28,18.96,19.08,19.51,290.43,5.60
100112700505W400,SBRS,1091.10,33.44,-9.47,198.51,2290.38,0.22,0.28,20.09,20.09,19.43,303.41,4.64
100112700505W400,SBRS,1091.60,35.79,-11.81,196.68,2261.77,0.24,0.28,20.87,21.00,20.32,311.30,3.49
100112700505W400,SBRS,1092.00,31.89,-12.18,196.58,2284.88,0.22,0.29,21.08,21.03,19.37,307.62,8.78
100112700505W400,SBRS,1092.60,38.00,-13.97,196.48,2302.45,0.21,0.27,20.33,20.40,18.82,300.48,1.61
100112700505W400,SBRS,1093.60,38.01,-11.79,198.58,2303.20,0.21,0.27,19.28,18.83,17.89,302.39,2.35
100112700505W400,SBRS,1094.00,36.91,-12.32,199.33,2312.43,0.20,0.27,18.60,18.41,17.63,305.84,1.69
100112700505W400,SBRS,1094.20,35.78,-12.11,198.35,2313.42,0.20,0.27,18.22,17.76,17.26,306.44,1.45
100112700505W400,SWFT,1094.80,62.58,-9.76,199.68,2358.09,0.17,0.27,14.80,13.38,14.65,305.06,0.66
100112700505W400,SWFT,1095.10,69.16,-7.21,199.23,2409.75,0.14,0.29,13.86,14.18,13.00,299.92,1.28
100112700505W400,SWFT,1096.30,90.58,11.52,202.35,2415.28,0.14,0.30,12.06,11.93,11.16,294.41,0.88
100112700505W400,SWFT,1096.50,105.95,16.32,203.06,2405.57,0.15,0.30,12.14,12.27,11.36,294.81,1.12
100112700505W400,SWFT,1096.70,108.30,20.63,203.29,2398.81,0.15,0.31,12.30,12.45,11.65,295.25,1.17
100112700505W400,SWFT,1096.90,98.61,22.43,202.55,2397.54,0.15,0.32,12.17,14.59,11.89,295.27,1.14
100102700505W400,SBRS,1097.00,46.61,47.68,197.93,2390.40,0.16,0.23,4.17,5.56,5.23,234.48,1.30
100102700505W400,SBRS,1097.20,47.78,34.09,197.58,2428.86,0.14,0.21,6.66,8.78,10.77,235.06,1.07
100102700505W400,SBRS,1097.40,45.95,23.92,196.35,2449.38,0.13,0.21,10.69,12.84,16.40,238.10,1.30
100102700505W400,SBRS,1097.70,46.26,15.16,196.02,2461.07,0.12,0.20,17.60,19.43,19.24,243.23,1.22
100102700505W400,SBRS,1097.90,43.55,13.58,195.60,2442.31,0.13,0.19,18.94,20.88,17.73,245.18,0.53
100102700505W400,SBRS,1098.10,37.74,12.79,196.16,2418.23,0.14,0.20,18.58,20.94,16.63,245.56,0.66
100102700505W400,SBRS,1098.40,33.86,10.99,194.99,2401.33,0.15,0.22,17.69,19.64,18.47,251.10,0.58
100102700505W400,SBRS,1098.60,38.92,11.37,196.09,2349.11,0.18,0.21,17.50,17.62,22.02,255.20,4.14
100102700505W400,SBRS,1098.70,41.27,11.28,196.63,2345.54,0.18,0.21,17.24,16.60,20.68,256.92,1.00
100102700505W400,SBRS,1099.00,47.36,13.70,197.58,2422.98,0.14,0.25,15.76,14.54,13.39,255.68,0.55
100102700505W400,SBRS,1099.20,47.39,18.16,197.37,2471.97,0.11,0.26,14.53,14.03,11.85,256.26,0.26
100102700505W400,SBRS,1099.40,44.90,19.91,197.98,2481.61,0.10,0.25,13.58,13.82,12.58,261.31,0.41
100102700505W400,SBRS,1099.60,44.73,19.31,196.90,2474.58,0.11,0.25,13.33,13.91,14.58,264.67,0.75
100102700505W400,SBRS,1099.80,43.66,19.19,197.03,2458.46,0.12,0.23,14.54,15.12,13.73,259.11,0.54
100102700505W400,SBRS,1100.00,38.44,14.60,196.23,2418.50,0.14,0.21,17.26,18.26,13.95,246.68,0.85
100102700505W400,SBRS,1100.10,33.22,12.50,196.49,2401.00,0.15,0.21,18.66,20.18,15.26,241.11,0.21
100102700505W400,SBRS,1100.20,28.33,10.58,196.55,2374.46,0.16,0.19,21.01,23.38,19.66,237.32,1.64
100102700505W400,SBRS,1100.40,21.17,8.79,196.50,2339.68,0.18,0.18,26.43,30.37,39.07,242.02,5.20
100102700505W400,SBRS,1100.60,21.29,7.63,197.04,2311.37,0.21,0.19,36.01,39.70,70.34,260.84,5.12
100102700505W400,SBRS,1100.80,25.27,6.27,197.31,2305.23,0.21,0.22,53.35,52.30,78.11,283.61,4.96
100102700505W400,SBRS,1101.00,29.99,5.35,196.90,2271.03,0.24,0.24,68.59,60.51,73.90,303.20,0.56
100102700505W400,SBRS,1101.30,37.47,4.91,196.21,2208.26,0.27,0.24,69.21,56.67,60.50,283.91,3.26
100102700505W400,SBRS,1101.70,51.44,3.77,200.17,2282.40,0.23,0.21,63.04,46.28,42.01,252.90,2.94
100102700505W400,SBRS,1102.00,50.19,2.57,199.98,2337.32,0.19,0.21,57.47,43.59,41.06,259.16,0.54
100102700505W400,SBRS,1102.50,44.97,1.73,199.63,2319.93,0.21,0.23,29.20,27.18,44.90,288.28,1.49
100102700505W400,SBRS,1102.80,72.50,-1.66,200.57,2296.40,0.22,0.24,21.48,16.62,39.29,288.36,1.77
100102700505W400,SBRS,1103.10,63.19,-11.19,200.37,2327.72,0.20,0.23,19.69,15.39,14.20,246.75,0.13
100102700505W400,SBRS,1103.30,50.93,-16.08,200.30,2380.57,0.16,0.21,19.02,17.24,12.90,243.76,0.56
100102700505W400,SBRS,1103.60,44.79,-12.28,200.24,2410.38,0.16,0.22,19.66,19.84,34.73,265.96,3.79
100102700505W400,SBRS,1104.00,30.72,0.77,198.95,2293.07,0.23,0.25,33.97,32.20,35.21,272.88,2.40
100102700505W400,SBRS,1104.30,27.95,4.91,198.20,2262.53,0.24,0.26,50.93,41.38,48.57,284.54,1.89
100102700505W400,SBRS,1104.60,24.03,8.72,198.75,2250.85,0.25,0.23,58.25,43.27,45.42,291.05,1.73
100102700505W400,SBRS,1104.80,24.22,11.48,197.84,2241.79,0.25,0.25,57.94,42.11,37.50,296.26,2.86
100102700505W400,SBRS,1105.60,47.99,23.22,197.93,2293.38,0.22,0.25,30.93,24.32,28.30,274.26,4.84
100102700505W400,SBRS,1105.90,44.82,27.28,199.21,2367.60,0.17,0.23,22.98,19.88,17.73,275.21,2.70
100102700505W400,SWFT,1106.10,49.52,24.68,199.21,2417.95,0.14,0.24,18.60,16.93,16.92,280.78,3.12
100102700505W400,SWFT,1106.50,57.20,29.03,199.28,2404.20,0.15,0.28,15.07,12.93,13.06,289.04,1.50
100102700505W400,SWFT,1106.70,44.82,33.93,199.98,2398.59,0.16,0.28,14.78,13.55,10.25,288.89,2.60
100102700505W400,SWFT,1107.10,37.62,31.39,199.83,2382.71,0.17,0.29,14.22,14.30,15.71,289.28,3.92
100102700505W400,SWFT,1107.40,45.81,35.54,199.70,2379.16,0.17,0.26,14.53,14.22,15.25,284.66,2.27
100102700505W400,SWFT,1107.70,58.85,37.94,199.98,2411.51,0.15,0.26,14.73,13.58,13.40,283.36,5.42
100102700505W400,SWFT,1108.00,85.21,39.55,199.28,2420.27,0.14,0.28,13.99,12.85,12.16,285.24,2.13
100102700505W400,SWFT,1108.30,107.48,45.64,199.63,2423.39,0.14,0.28,13.17,12.40,11.53,289.18,1.02
100102700505W400,SWFT,1110.60,55.73,40.89,200.24,2386.76,0.16,0.30,11.73,11.68,13.66,296.89,1.27
100102700505W400,SWFT,1111.50,44.83,42.38,199.98,2362.89,0.18,0.29,12.29,12.33,10.28,300.40,2.89
100102700505W400,SWFT,1112.40,35.66,37.55,199.76,2319.40,0.20,0.27,14.74,14.20,11.26,292.50,2.76
100102300505W400,SBRS,1109.20,49.99,-16.49,193.88,2414.00,0.12,0.30,5.39,6.36,5.72,293.10,0.62
100102300505W400,SBRS,1109.40,44.66,-17.02,193.88,2460.00,0.15,0.23,6.38,7.82,8.82,266.07,0.54
100102300505W400,SBRS,1109.60,35.39,-22.02,193.88,2514.00,0.07,0.18,8.13,9.50,29.31,248.38,0.66
100102300505W400,SBRS,1110.00,25.49,-32.04,192.25,2450.00,0.12,0.21,8.44,7.56,10.27,266.10,0.53
100102300505W400,SBRS,1110.20,25.84,-48.29,189.25,2356.00,0.17,0.27,7.93,7.52,5.09,285.79,0.89
100102300505W400,SBRS,1110.40,30.13,-55.29,189.25,2328.00,0.19,0.30,7.89,7.83,6.81,306.95,1.83
100102300505W400,SBRS,1110.60,33.93,-59.04,189.25,2322.00,0.20,0.29,7.98,8.10,9.41,301.35,0.40
100102300505W400,SBRS,1110.80,35.62,-58.41,189.25,2307.90,0.18,0.28,9.97,11.32,11.12,294.66,0.81
100102300505W400,SBRS,1111.00,35.95,-54.91,189.25,2304.00,0.20,0.28,11.22,13.65,16.18,293.14,2.92
100102300505W400,SBRS,1111.20,35.23,-53.66,189.25,2282.00,0.22,0.27,13.01,16.48,30.22,295.48,1.49
100102300505W400,SBRS,1111.40,33.35,-53.04,189.25,2266.00,0.24,0.27,14.70,18.24,40.13,305.55,3.33
100102300505W400,SBRS,1111.60,32.59,-53.54,189.25,2238.00,0.25,0.28,17.16,19.05,28.72,319.48,4.60
100102300505W400,SBRS,1111.70,32.78,-53.62,189.25,2238.00,0.23,0.29,17.05,18.73,25.90,324.40,1.08
100102300505W400,SBRS,1111.90,36.84,-53.74,189.25,2236.00,0.25,0.30,16.95,17.84,21.71,333.30,0.66
100102300505W400,SBRS,1112.10,50.46,-53.35,189.25,2245.00,0.23,0.30,16.50,16.90,18.14,339.10,2.86
100102300505W400,SBRS,1112.20,53.65,-52.91,189.25,2256.00,0.25,0.30,16.02,16.53,15.93,340.93,1.92
100102300505W400,SBRS,1112.50,66.24,-51.04,189.25,2282.00,0.22,0.30,15.50,16.91,18.54,339.54,1.82
100102300505W400,SBRS,1112.70,127.19,-49.04,189.25,2233.95,0.25,0.31,14.84,16.31,20.64,338.96,0.43
100102300505W400,SBRS,1112.90,165.87,-46.67,189.25,2187.90,0.29,0.34,14.12,15.40,19.48,335.60,1.20
100102300505W400,SBRS,1113.10,175.62,-44.92,189.25,2201.95,0.31,0.34,13.43,14.56,16.77,326.40,0.90
100102300505W400,SWFT,1113.40,84.31,-30.79,189.25,2316.00,0.19,0.30,10.85,10.52,15.19,307.29,2.22
100102300505W400,SWFT,1113.60,60.54,-25.79,191.25,2358.00,0.19,0.26,9.49,9.24,11.50,299.27,0.45
100102300505W400,SWFT,1113.80,57.38,-20.54,192.50,2372.00,0.15,0.28,8.78,8.53,7.72,306.22,4.05
