GR,SP,CALX,RHOB,NPSS,ILD,ILM,SFL,DT,Binned_FZI_PS
48.867,22.132,187.85,2198.215,0.286,13.776,14.707,15.093,300.031,3
48.603,20.044,192.85,2233.395,0.281,13.534,14.227,16.004,300.819,3
47.907,17.694,196.235,2301.83,0.267,13.574,14.484,14.17,297.596,3
49.791,19.568,198.555,2288.415,0.26,13.88,15.261,14.771,297.292,4
46.98,24.26,200.45,2346.54,0.266,13.837,16.093,16.272,293.748,4
61.035,30.652,203.305,2381.56,0.274,13.786,15.796,17.645,288.47,6
87.216,40.264,202.825,2343.295,0.273,13.735,15.026,13.194,290.039,4
80.505,42.4,202.525,2325.68,0.306,13.189,14.264,12.196,299.402,4
52.53,71.584,201.725,2395.2,0.262,13.348,5.919,10.362,298.293,1
53.085,75.149,201.475,2359.9,0.27,13.685,5.655,11.052,298.433,2
50.52,77.228,201.475,2325.15,0.276,13.824,5.186,10.986,300.316,4
46.905,78.911,201.475,2304.45,0.276,13.881,5.023,10.757,305.186,3
44.145,80.2,201.475,2289.25,0.272,14.221,4.41,10.707,311.188,3
44.115,81.1,201.475,2284.25,0.272,15.185,4.751,11.452,314.465,3
40.515,82.4,201.475,2271.3,0.284,16.898,5,13.093,319.224,3
38.4,82.6,201.475,2249.15,0.29,16.392,4.84,12.712,324.569,5
34.635,82.7,201.475,2210.9,0.294,15.121,3.618,11.836,332.905,5
33.15,82.4,201.475,2196.6,0.291,13.889,2.905,10.918,336.23,3
34.785,82,201.475,2203.6,0.282,13.239,3.097,10.348,330.823,5
44.917,80.9,201.475,2236.1,0.27,12.795,4.094,10.163,312.877,4
59.07,78.614,201.625,2306.4,0.278,12.23,4.817,9.904,301.267,1
83.505,73.467,204.975,2369.3,0.308,10.294,5.734,8.616,300.12,6
118.995,69.2,205.45,2388,0.319,7.098,2.507,5.956,323.737,3
132.112,67.4,203.875,2386.8,0.296,6.814,4.145,5.684,322.685,3
111.465,66.2,205.275,2374.85,0.295,6.838,5.19,5.83,319.555,4
98.61,65.8,205.287,2374.25,0.327,6.626,4.202,5.41,320.032,3
91.56,65.6,204.737,2384.15,0.323,6.58,5.612,5.244,320.801,6
89.265,65.2,206.425,2373.4,0.314,6.336,4.954,5.29,326.091,2
92.145,65.3,204.975,2372.7,0.308,5.962,3.685,5.098,328.333,4
94.402,65.1,204.4,2372.3,0.306,5.652,5.092,4.973,330.036,3
93.66,64.8,205.4,2386.4,0.304,5.663,4.493,4.829,327.143,5
94.867,64,204.525,2368.4,0.351,5.886,5.759,4.941,322.56,3
68.685,63.9,203.887,2959.8,0.345,5.26,6.522,4.11,303.538,1
58.095,-58.488,215.625,2299.994,0.261,17.792,18.485,18.64,297.649,3
62.745,-57.832,215.625,2299.994,0.261,17.891,18.477,18.443,297.993,3
67.395,-56.997,215.625,2302.565,0.262,17.736,18.176,18.109,298.449,3
69.495,-55.934,215.625,2307.392,0.264,17.58,17.874,17.776,299.009,3
71.595,-54.829,215.625,2318.553,0.266,17.428,17.655,17.252,297.987,3
73.492,-53.684,215.625,2332.398,0.268,17.275,17.435,16.727,296.107,3
75.39,-52.424,215.887,2348.801,0.269,17.22,17.035,16.227,293.265,3
56.895,-52.586,215.762,2398.406,0.282,17.569,17.54,17.552,296.401,3
53.985,-57.778,215.375,2374.574,0.274,18.234,18.395,19.664,302.324,2
53.985,-59.484,215.375,2364.681,0.273,18.494,18.717,20.316,304.678,2
53.985,-60.089,215.5,2357.465,0.276,18.736,19.05,20.677,306.66,2
55.387,-60.405,215.625,2350.769,0.279,18.977,19.383,21.039,308.057,2
56.79,-60.418,215.625,2344.743,0.281,19.225,19.646,21.078,309.144,2
62.685,-60.38,215.625,2338.996,0.286,19.792,20.263,21.001,309.857,3
62.94,-60.157,215.625,2339.584,0.288,20.111,20.617,20.885,309.397,3
63.195,-59.528,215.887,2342.209,0.289,20.157,20.761,20.675,308.019,3
63.09,-57.508,216.65,2349.032,0.291,20.056,20.914,20.298,304.505,3
63.585,-55.436,217.275,2364.697,0.291,19.79,20.619,20.019,300.276,3
64.29,-54.661,217.4,2376.587,0.29,19.671,20.316,19.908,298.302,2
60.397,-45.133,218.425,2391.624,0.276,16.898,18.274,17.678,299.341,4
60.645,-47.898,217.675,2368.833,0.296,16.743,18.682,18.106,303.823,3
57.69,-51.13,219.2,2356.736,0.285,15.468,19.117,18.579,302.952,3
59.385,-51.209,218.437,2369.201,0.281,15.161,18.645,18.427,301.102,3
63.037,-51.067,217.675,2385.321,0.281,14.853,18.173,18.274,299.083,3
66.69,-50.633,217.537,2402.136,0.284,14.578,17.677,17.719,297.154,2
80.595,-48.694,217.4,2421.974,0.3,13.602,16.099,15.894,296.765,2
84.885,-45.4,217.275,2428.946,0.316,12.566,14.595,14.319,299.124,3
21.277,-105.644,193.25,2264.465,0.201,28.938,31.835,44.921,325.351,2
21.015,-107.426,191.75,2261.547,0.217,24.94,26.564,38.215,326.688,1
21.832,-107.921,191.5,2258.246,0.226,23.734,24.94,34.405,328.042,3
23.97,-108.416,191.5,2260.299,0.244,21.592,22.184,28.808,330.724,4
25.29,-108.317,191.75,2265.652,0.251,20.828,21.016,26.925,332.05,4
27.345,-107.03,192,2279.711,0.259,19.543,19.185,25.053,332.785,2
28.065,-105.446,192.75,2300.654,0.256,19.009,18.661,25.394,326.432,4
29.587,-100.099,193.75,2342.947,0.251,18.404,17.818,28.938,311.922,4
31.62,-93.214,194.25,2364.359,0.247,17.654,17.013,34.092,305.087,1
34.387,-88.322,194.25,2360.316,0.248,17.573,16.245,26.564,307.756,1
37.912,-82.978,194.5,2357.012,0.255,18.234,15.948,20.09,310.541,1
41.422,-79.005,196.5,2392.078,0.269,18.575,16.096,15.583,313.428,2
44.392,-78.311,198.75,2449.693,0.295,20.09,17.983,15.087,301.998,5
46.402,-81.598,199.5,2479.748,0.313,22.284,22.184,20.641,280.402,1
42.457,-94.257,193,2449.744,0.34,32.796,33.393,61.098,279.891,5
29.82,-101.188,190.5,2311.926,0.298,57.066,48.431,59.456,284.202,4
30.39,-102.97,191.25,2297.574,0.314,57.327,54.275,63.932,291.371,3
30.42,-104.356,192,2280.297,0.328,57.82,56.522,69.953,306.953,3
29.775,-105.347,192.5,2261.746,0.32,58.564,56.998,76.475,320.828,3
29.46,-106.139,192.5,2245.551,0.321,57.995,57.476,81.095,308.781,4
29.175,-106.832,192.5,2256.527,0.329,57.181,57.695,81.463,299.361,3
27.45,-107.228,192.5,2260.082,0.331,54.656,55.391,70.015,303.102,3
