UWI,FM_TOP,DEPTH,GR,SP,CALX,RHOB,DPSS,NPSS,ILD,ILM,SFL,DT,Binned_FZI_PS
100162100505W400,SWFT,1090.7,82.53,-44.19,217.31,2414.12,0.14,0.30,8.84,9.16,9.77,308.95,2
100162100505W400,SWFT,1091.0,78.63,-44.68,217.93,2410.73,0.14,0.29,8.95,9.24,9.68,310.30,2
100161100505W400,LMNV,1108.8,51.09,-52.28,195.65,2586.50,0.04,0.27,9.26,11.33,19.54,,1
100161100505W400,LMNV,1109.1,49.31,-61.20,195.65,2528.47,0.07,0.25,15.51,16.55,21.91,,1
100161100505W400,LMNV,1109.3,48.69,-65.19,195.65,2500.37,0.09,0.24,15.51,17.98,21.61,,2
100161100505W400,LMNV,1109.5,53.59,-68.76,195.55,2471.12,0.11,0.24,15.51,17.09,19.10,,1
100161100505W400,LMNV,1109.6,58.06,-70.34,195.45,2455.02,0.11,0.25,15.44,17.01,16.40,,2
100161100505W400,LMNV,1109.8,74.31,-73.92,195.45,2454.01,0.12,0.26,15.23,17.01,13.26,,2
100161100505W400,LMNV,1110.0,90.00,-76.90,195.45,2468.51,0.11,0.28,15.09,16.86,13.07,,2
100161100505W400,LMNV,1110.3,93.27,-82.28,195.45,2449.00,0.12,0.29,14.81,16.32,16.55,,2
100161100505W400,LMNV,1110.5,84.60,-86.14,195.45,2421.50,0.13,0.28,14.74,16.10,17.90,,2
100161100505W400,LMNV,1110.7,72.46,-88.52,195.45,2396.01,0.15,0.27,14.60,15.87,18.22,,2
100161100505W400,LMNV,1110.9,67.22,-89.70,195.45,2385.02,0.16,0.27,14.59,15.71,17.47,,2
100161100505W400,SBRS,1111.3,63.30,-90.90,195.45,2367.50,0.17,0.31,14.58,15.62,16.51,,2
100161100505W400,SBRS,1111.6,50.05,-90.90,195.65,2315.35,0.20,0.32,14.64,15.61,18.08,,1
100161100505W400,SBRS,1112.8,67.65,-74.00,195.45,2446.15,0.12,0.28,16.42,17.67,14.71,,2
100161100505W400,SBRS,1113.0,67.95,-77.10,195.45,2450.02,0.12,0.29,17.35,19.02,18.58,,2
100161100505W400,SBRS,1113.4,52.87,-85.35,195.45,2309.00,0.20,0.32,20.66,22.03,26.01,,4
100161100505W400,SBRS,1114.4,37.18,-87.22,195.45,2238.46,0.25,0.32,22.13,24.72,25.07,,3
100161100505W400,SBRS,1114.6,38.66,-84.23,195.45,2254.00,0.24,0.32,20.28,22.65,27.11,,4
100161100505W400,SBRS,1115.0,58.35,-72.48,195.45,2348.04,0.18,0.28,17.43,18.16,18.41,,1
100161100505W400,SBRS,1115.3,78.45,-60.80,195.45,2531.00,0.08,0.26,15.61,15.83,12.24,,1
100161100505W400,SBRS,1115.6,89.70,-52.97,195.45,2542.00,0.06,0.30,13.98,14.37,11.59,,1
100161100505W400,SBRS,1116.2,76.65,-56.24,195.45,2478.42,0.11,0.30,14.46,15.63,15.41,,4
100161100505W400,SBRS,1116.4,68.55,-63.30,195.25,2449.82,0.12,0.29,14.87,16.14,19.64,,2
100161100505W400,SBRS,1116.6,59.41,-70.10,195.45,2422.22,0.14,0.28,15.49,16.74,19.02,,4
100161100505W400,SBRS,1116.9,58.81,-76.73,195.45,2405.58,0.15,0.28,16.45,17.21,17.69,,4
100161100505W400,SBRS,1117.5,44.40,-78.91,195.25,2307.96,0.21,0.30,16.76,18.43,24.38,,1
100161100505W400,SBRS,1117.7,44.10,-81.00,195.25,2293.50,0.22,0.31,16.69,17.63,21.25,,1
100161100505W400,SBRS,1117.9,48.12,-84.00,195.25,2314.87,0.20,0.31,16.71,17.40,18.21,,3
100161100505W400,SBRS,1118.5,51.39,-86.80,195.65,2325.51,0.20,0.29,18.25,19.37,20.94,,3
100161100505W400,SBRS,1119.2,51.68,-86.20,195.45,2284.94,0.22,0.30,19.55,21.43,22.34,,3
100161100505W400,SWFT,1120.0,56.14,-78.91,195.85,2328.51,0.20,0.28,16.07,17.21,18.17,,2
100161100505W400,SWFT,1120.6,86.55,-64.80,195.85,2442.27,0.12,0.30,12.97,13.39,13.70,,2
100161100505W400,SWFT,1121.3,108.45,-61.30,198.23,2462.09,0.12,0.32,10.42,11.11,10.32,,2
100131200505W400,SBRS,1116.3,56.99,-64.50,,2269.63,0.24,0.31,14.27,15.64,29.73,293.18,2
