GR,SP,RHOB,DPSS ,NPSS,ILD,ILM,SFL,Binned_FZI_PS
19.80,-107.23,2200.18,0.26,0.33,49.07,49.97,55.12,4
18.23,-107.03,2194.21,0.28,0.33,45.40,46.23,48.15,4
16.65,-107.03,2198.28,0.27,0.32,42.22,42.99,46.62,4
17.60,-107.33,2226.52,0.26,0.31,39.28,40.00,46.59,4
17.27,-106.84,2249.90,0.24,0.30,36.33,37.00,43.92,2
17.10,-105.85,2254.21,0.24,0.30,35.17,35.82,42.56,4
19.02,-103.28,2261.87,0.23,0.30,33.57,34.51,40.30,4
21.21,-100.50,2264.27,0.23,0.30,32.21,34.49,38.48,1
26.06,-93.76,2265.67,0.24,0.29,28.34,34.62,37.24,4
30.87,-87.03,2263.71,0.20,0.28,24.29,34.43,43.24,4
34.64,-82.38,2272.31,0.15,0.26,20.09,21.69,56.28,4
36.27,-80.50,2281.88,0.13,0.26,18.66,19.10,46.91,4
41.13,-72.90,2470.70,0.09,0.26,14.88,15.16,13.20,1
50.25,-69.80,2494.53,0.10,0.30,12.26,12.48,11.65,2
53.08,-67.72,2486.96,0.10,0.31,11.02,11.23,13.88,3
53.93,-66.04,2480.66,0.10,0.31,10.82,11.02,13.26,4
53.76,-59.11,2470.38,0.12,0.31,9.95,10.14,10.47,2
61.31,-58.61,2449.93,0.12,0.33,9.51,10.00,11.23,4
85.65,-55.15,2426.52,0.14,0.34,9.51,9.91,10.23,1
57.12,-57.13,2435.58,0.13,0.36,8.50,9.19,10.60,2
62.24,-55.64,2433.63,0.13,0.38,7.96,8.11,8.92,2
59.88,-54.46,2409.81,0.14,0.34,7.36,7.50,9.73,3
68.94,-51.78,2441.66,0.12,0.38,5.78,5.89,6.44,1
36.20,15.71,2404.23,0.14,0.26,4.56,4.70,5.99,3
35.24,13.20,2408.78,0.14,0.26,4.84,4.93,6.32,2
38.21,6.53,2388.33,0.16,0.27,5.65,5.54,6.42,3
45.95,-3.84,2348.36,0.18,0.30,6.00,6.31,6.93,3
46.43,-8.45,2330.47,0.20,0.30,6.23,6.69,7.26,2
47.15,-13.02,2316.94,0.20,0.29,6.66,7.05,7.55,3
49.68,-20.04,2347.25,0.19,0.29,7.39,7.43,7.90,2
54.10,-14.33,2375.10,0.17,0.29,7.77,7.70,8.06,1
59.86,-16.69,2382.97,0.16,0.26,8.30,8.14,8.60,2
62.18,-24.62,2382.25,0.16,0.25,8.96,8.82,9.96,2
62.16,-27.13,2358.49,0.16,0.27,9.47,9.31,10.99,3
60.51,-25.96,2358.90,0.18,0.28,9.83,9.53,11.11,3
58.58,-17.46,2368.09,0.18,0.29,10.19,9.81,10.50,4
