GR,SP,RHOB,DPSS ,NPSS,ILD,ILM,SFL,Binned_FZI_PS
78.00,-16.60,2345.00,0.22,0.44,2.70,2.85,2.99,1
77.85,-16.50,2343.50,0.19,0.45,2.73,2.88,2.90,3
78.30,-16.70,2330.00,0.20,0.46,2.82,2.93,3.06,2
82.35,-17.40,2351.49,0.18,0.46,2.97,3.23,3.93,2
80.10,-18.10,2285.00,0.20,0.44,3.29,3.65,3.50,3
75.90,-19.70,2242.00,0.25,0.46,3.58,4.00,4.39,3
75.45,-20.99,2246.50,0.24,0.44,3.78,4.25,5.31,1
67.94,-18.69,2383.00,0.16,0.27,19.28,19.91,20.19,5
66.62,-20.20,2352.00,0.19,0.28,18.67,19.28,19.82,5
60.15,-22.21,2332.00,0.19,0.28,18.41,19.02,19.46,5
50.11,-24.43,2305.00,0.21,0.27,19.28,19.91,20.56,6
51.90,-26.35,2295.50,0.21,0.27,19.73,20.37,19.91,2
54.72,-27.88,2332.00,0.19,0.28,20.28,20.94,19.91,6
45.74,-29.60,2294.50,0.22,0.29,20.94,21.73,22.97,2
44.12,-30.50,2262.00,0.23,0.29,21.24,22.13,23.28,6
43.97,-31.10,2256.50,0.24,0.29,21.43,22.24,23.50,2
43.82,-31.30,2264.00,0.24,0.28,21.63,22.34,23.72,6
47.67,-31.70,2313.00,0.22,0.28,21.14,22.75,23.94,5
51.54,-31.50,2331.50,0.21,0.28,20.75,22.65,23.61,6
54.51,-31.30,2350.00,0.19,0.28,20.56,21.93,22.65,6
60.74,-30.30,2384.50,0.16,0.29,19.73,19.91,20.28,3
60.59,-29.90,2388.00,0.16,0.29,19.46,19.28,19.73,2
59.26,-28.99,2395.00,0.16,0.29,18.93,18.67,19.37,2
62.06,-27.27,2394.50,0.15,0.29,18.17,17.92,18.59,4
66.03,-25.25,2390.00,0.16,0.28,17.60,16.89,17.20,3
67.65,-24.24,2387.50,0.16,0.28,17.20,16.51,16.89,2
67.65,-23.23,2386.00,0.16,0.28,16.89,16.21,16.66,3
65.15,-22.42,2381.00,0.16,0.28,16.44,15.56,16.14,2
66.47,-22.42,2387.50,0.17,0.27,15.71,14.87,15.64,2
76.82,-21.72,2420.00,0.15,0.27,15.28,14.40,15.35,3
87.27,-19.80,2446.50,0.12,0.28,14.80,14.01,14.40,2
77.90,-21.52,2378.00,0.17,0.29,15.22,14.47,15.08,4
78.24,-22.32,2362.00,0.17,0.29,15.87,15.16,15.73,2
78.70,-22.32,2378.00,0.16,0.29,16.02,15.45,15.81,3
79.51,-22.32,2384.00,0.16,0.29,16.04,15.04,15.61,2
79.36,-22.42,2390.00,0.16,0.29,15.89,14.90,15.53,2
81.32,-22.63,2396.00,0.16,0.30,15.74,14.76,15.25,3
97.03,-22.42,2380.00,0.16,0.32,15.09,14.15,14.61,2
109.39,-21.92,2382.00,0.17,0.32,14.68,13.95,14.21,2
66.62,-24.55,2312.50,0.21,0.30,16.17,15.16,15.95,2
57.70,-26.94,2285.50,0.22,0.28,18.83,18.32,18.66,3
58.77,-27.33,2277.50,0.23,0.28,19.36,18.49,18.92,4
59.08,-27.32,2283.00,0.22,0.28,19.36,17.65,18.75,2
59.26,-26.60,2306.50,0.21,0.29,18.15,16.94,17.49,3
60.29,-26.40,2309.50,0.21,0.29,17.33,16.25,16.63,2
63.97,-26.60,2298.50,0.21,0.28,16.47,16.02,16.40,3
60.00,-26.10,2317.50,0.20,0.27,16.25,15.44,15.80,3
59.11,-25.80,2322.00,0.20,0.27,16.10,15.09,15.51,2
63.83,-24.79,2336.50,0.19,0.27,15.36,14.14,14.53,3
