SP,RHOB,NPSS,FZI_CALC,log_GR,log_CALX,log_ILD
71.58,2395.2,0.26,0.32,3.9613844349658702,5.306930169646259,2.5915163848462583
75.15,2359.9,0.27,0.92,3.97198858659558,5.30569012087745,2.6166656393003573
77.23,2325.15,0.28,2.88,3.9223692974822906,5.30569012087745,2.626116818339524
78.91,2304.45,0.28,1.46,3.8482308723403666,5.30569012087745,2.6304489550786583
80.2,2289.25,0.27,1.02,3.787592927049969,5.30569012087745,2.6546494243750947
81.1,2284.25,0.27,1.52,3.786913194385302,5.30569012087745,2.7206373166076814
82.4,2271.3,0.28,1.57,3.7017956793804827,5.30569012087745,2.8273136219290276
82.6,2249.15,0.29,4.1,3.648057459593681,5.30569012087745,2.7966713927557385
82.7,2210.9,0.29,5.02,3.5450090836942345,5.30569012087745,2.716018370751387
82.4,2196.6,0.29,1.98,3.5010427166318716,5.30569012087745,2.6311691567662523
82.0,2203.6,0.28,5.71,3.5493299891638506,5.30569012087745,2.5832425505088623
80.9,2236.1,0.27,2.05,3.8048831298702424,5.30569012087745,2.5494451709255714
78.61,2306.4,0.28,0.48,4.078723181319144,5.3064343346499845,2.503891949699081
73.47,2369.3,0.31,6.57,4.424966385165138,5.322912413403417,2.331172549845958
69.2,2388.0,0.32,1.29,4.77912349311153,5.325202695329419,1.9600947840472698
67.4,2386.8,0.3,1.31,4.883634908890262,5.317531585471841,1.918392120161421
66.2,2374.85,0.3,3.85,4.713755496401532,5.324374900867326,1.922787731634459
65.8,2374.25,0.33,1.97,4.591172676344238,5.324423613632516,1.891604804197771
65.6,2384.15,0.32,9.63,4.516994495084366,5.321740881491625,1.884034745337226
65.2,2373.4,0.31,0.88,4.4916654851912705,5.329961371882498,1.8468787684491346
65.3,2372.7,0.31,2.25,4.523417684115833,5.322912413403417,1.7850704810772584
65.1,2372.3,0.31,1.08,4.547541073151455,5.320078858329549,1.7316555451583497
64.8,2386.4,0.3,4.52,4.539671203755396,5.324959297494458,1.7334238922150915
64.0,2368.4,0.35,1.71,4.5525075334047855,5.320714663990075,1.7732559976634952
63.9,2959.8,0.35,0.27,4.2296036282257905,5.317580632728883,1.6601310267496185
-58.49,2299.99,0.26,1.47,4.062165663857866,5.373563975922575,2.8786365016777435
-57.83,2299.99,0.26,1.39,4.139158578011894,5.373563975922575,2.884241897520628
-57.0,2302.57,0.26,1.63,4.210645017918261,5.373563975922575,2.8758219768814333
-55.93,2307.39,0.26,1.02,4.241326752570746,5.373563975922575,2.866761892257031
-54.83,2318.55,0.27,1.71,4.2710950739666,5.373563975922575,2.8581928595319295
-53.68,2332.4,0.27,1.76,4.29714934254078,5.373563975922575,2.8495497633759097
-52.42,2348.8,0.27,1.91,4.32267464022361,5.374769018708368,2.8460714989995846
-52.59,2398.41,0.28,1.57,4.041295341132285,5.374166678831474,2.866192902199006
-57.78,2374.57,0.27,0.76,3.9887988442301956,5.372403909900735,2.9030685886905716
-59.48,2364.68,0.27,0.7,3.9887988442301956,5.372403909900735,2.9172300453990334
-60.09,2357.47,0.28,0.58,3.9887988442301956,5.372960909543803,2.930660276810276
-60.41,2350.77,0.28,0.91,4.014399072045013,5.373563975922575,2.9433857931817817
-60.42,2344.74,0.28,0.87,4.039360253889341,5.373563975922575,2.9564715596006885
-60.38,2339.0,0.29,1.26,4.138201945285877,5.373563975922575,2.9851767596144745
-60.16,2339.58,0.29,1.59,4.142181891636261,5.373563975922575,3.001217203784561
-59.53,2342.21,0.29,1.9,4.146304301152812,5.374769018708368,3.0037004432031678
-57.51,2349.03,0.29,1.0,4.144562278382718,5.378283148185918,2.9987277825337895
-55.44,2364.7,0.29,1.24,4.152456225279317,5.3811868443703315,2.9851767596144745
-54.66,2376.59,0.29,0.99,4.163404098153595,5.381738974687109,2.979094632400968
-45.13,2391.62,0.28,2.29,4.100989104940769,5.3864655970747295,2.8273136219290276
-47.9,2368.83,0.3,1.62,4.105119635390059,5.383026094474991,2.817801065061329
-51.13,2356.74,0.29,1.27,4.055083848268798,5.389984555073861,2.738902664584975
-51.21,2369.2,0.28,1.79,4.0841258620277685,5.386511377283953,2.7186603802142257
-51.07,2385.32,0.28,1.09,4.143769445549624,5.383026094474991,2.6979998652487085
-50.63,2402.14,0.28,0.75,4.200055016644215,5.382382741665704,2.6796507265805123
-48.69,2421.97,0.3,0.84,4.389498649512583,5.381738974687109,2.6100697927420065
-45.4,2428.95,0.32,1.75,4.441356300749876,5.3811868443703315,2.531313022602156
-105.64,2264.47,0.2,0.72,3.0577676644734435,5.263984687467532,3.365224721203338
-107.43,2261.55,0.22,0.13,3.045474365448805,5.256192440247365,3.2164729402518906
-107.92,2258.25,0.23,1.16,3.0832851705618523,5.2548878086207,3.166740070447672
-108.42,2260.3,0.24,2.91,3.176803048446293,5.2548878086207,3.072230244526716
-108.32,2265.65,0.25,3.06,3.2304090606818736,5.256192440247365,3.0363942552728806
-107.03,2279.71,0.26,0.79,3.3087165288679903,5.2574953720277815,2.972463646614637
-105.45,2300.65,0.26,2.71,3.334701390373791,5.261394012443439,2.944965156500338
-100.1,2342.95,0.25,2.36,3.3874364664121184,5.2665686682334565,2.91235066461494
-93.21,2364.36,0.25,0.34,3.453789831781326,5.269145989247757,2.8707357833793057
-88.32,2360.32,0.25,0.18,3.537765824444175,5.269145989247757,2.866192902199006
-82.98,2357.01,0.26,0.36,3.635214929528243,5.270432163058501,2.9030685886905716
-79.01,2392.08,0.27,0.59,3.723763855967438,5.280662431309316,2.922085733385692
-78.31,2449.69,0.3,4.26,3.793014218845944,5.292047753534441,3.000222178826843
