GR,SP,CALX,RHOB,NPSS,ILD,FZI_CALC
44.82,27.28,199.21,2367.6,0.23,22.98,2.7
49.52,24.68,199.21,2417.95,0.24,18.6,3.12
57.2,29.03,199.28,2404.2,0.28,15.07,1.5
44.82,33.93,199.98,2398.59,0.28,14.78,2.6
37.62,31.39,199.83,2382.71,0.29,14.22,3.92
45.81,35.54,199.7,2379.16,0.26,14.53,2.27
58.85,37.94,199.98,2411.51,0.26,14.73,5.42
85.21,39.55,199.28,2420.27,0.28,13.99,2.13
107.48,45.64,199.63,2423.39,0.28,13.17,1.02
55.73,40.89,200.24,2386.76,0.3,11.73,1.27
44.83,42.38,199.98,2362.89,0.29,12.29,2.89
35.66,37.55,199.76,2319.4,0.27,14.74,2.76
49.99,-16.49,193.88,2414.0,0.3,5.39,0.62
44.66,-17.02,193.88,2460.0,0.23,6.38,0.54
35.39,-22.02,193.88,2514.0,0.18,8.13,0.66
25.49,-32.04,192.25,2450.0,0.21,8.44,0.53
25.84,-48.29,189.25,2356.0,0.27,7.93,0.89
30.13,-55.29,189.25,2328.0,0.3,7.89,1.83
33.93,-59.04,189.25,2322.0,0.29,7.98,0.4
35.62,-58.41,189.25,2307.9,0.28,9.97,0.81
35.95,-54.91,189.25,2304.0,0.28,11.22,2.92
35.23,-53.66,189.25,2282.0,0.27,13.01,1.49
33.35,-53.04,189.25,2266.0,0.27,14.7,3.33
32.59,-53.54,189.25,2238.0,0.28,17.16,4.6
32.78,-53.62,189.25,2238.0,0.29,17.05,1.08
36.84,-53.74,189.25,2236.0,0.3,16.95,0.66
50.46,-53.35,189.25,2245.0,0.3,16.5,2.86
53.65,-52.91,189.25,2256.0,0.3,16.02,1.92
66.24,-51.04,189.25,2282.0,0.3,15.5,1.82
127.19,-49.04,189.25,2233.95,0.31,14.84,0.43
165.87,-46.67,189.25,2187.9,0.34,14.12,1.2
175.62,-44.92,189.25,2201.95,0.34,13.43,0.9
84.31,-30.79,189.25,2316.0,0.3,10.85,2.22
60.54,-25.79,191.25,2358.0,0.26,9.49,0.45
57.38,-20.54,192.5,2372.0,0.28,8.78,4.05
83.55,-16.42,191.63,2371.95,0.34,7.0,0.77
101.21,-14.55,192.38,2353.9,0.39,6.3,3.18
51.35,68.92,202.47,2308.41,0.34,2.22,5.04
53.81,64.08,203.43,2336.48,0.24,3.07,1.84
52.71,59.36,203.73,2367.44,0.22,5.08,1.87
55.5,52.95,205.5,2364.58,0.23,10.28,1.9
48.32,41.89,205.8,2341.86,0.23,12.66,8.19
48.78,35.6,205.32,2318.48,0.24,13.48,3.86
52.28,32.92,204.84,2306.4,0.26,14.34,3.81
53.18,29.85,203.13,2305.98,0.27,15.49,3.93
50.1,29.22,199.85,2323.05,0.27,15.56,2.44
50.3,30.66,199.85,2327.99,0.28,15.19,2.83
48.63,31.12,199.02,2318.58,0.29,14.81,3.04
45.65,31.38,196.94,2318.07,0.28,15.22,3.37
40.43,31.29,193.45,2330.83,0.28,14.92,2.32
43.91,28.56,194.2,2313.51,0.27,14.8,2.34
41.81,28.67,192.07,2314.32,0.28,14.93,1.03
49.91,29.15,190.71,2319.45,0.26,14.47,2.53
51.77,26.65,187.98,2299.38,0.27,14.28,2.11
51.7,24.04,185.48,2251.03,0.28,14.06,1.48
48.87,22.13,187.85,2198.22,0.29,13.78,1.95
48.6,20.04,192.85,2233.4,0.28,13.53,1.4
47.91,17.69,196.24,2301.83,0.27,13.57,1.5
49.79,19.57,198.56,2288.42,0.26,13.88,3.9
46.98,24.26,200.45,2346.54,0.27,13.84,2.5
61.04,30.65,203.31,2381.56,0.27,13.79,9.45
87.22,40.26,202.83,2343.3,0.27,13.74,2.25
80.51,42.4,202.53,2325.68,0.31,13.19,3.26
52.53,71.58,201.73,2395.2,0.26,13.35,0.32
53.09,75.15,201.48,2359.9,0.27,13.69,0.92
50.52,77.23,201.48,2325.15,0.28,13.82,2.88
46.91,78.91,201.48,2304.45,0.28,13.88,1.46
44.15,80.2,201.48,2289.25,0.27,14.22,1.02
44.12,81.1,201.48,2284.25,0.27,15.19,1.52
40.52,82.4,201.48,2271.3,0.28,16.9,1.57
38.4,82.6,201.48,2249.15,0.29,16.39,4.1
34.64,82.7,201.48,2210.9,0.29,15.12,5.02
33.15,82.4,201.48,2196.6,0.29,13.89,1.98
34.79,82.0,201.48,2203.6,0.28,13.24,5.71
44.92,80.9,201.48,2236.1,0.27,12.8,2.05
59.07,78.61,201.63,2306.4,0.28,12.23,0.48
83.51,73.47,204.98,2369.3,0.31,10.29,6.57
119.0,69.2,205.45,2388.0,0.32,7.1,1.29
132.11,67.4,203.88,2386.8,0.3,6.81,1.31
111.47,66.2,205.28,2374.85,0.3,6.84,3.85
98.61,65.8,205.29,2374.25,0.33,6.63,1.97
91.56,65.6,204.74,2384.15,0.32,6.58,9.63
89.27,65.2,206.43,2373.4,0.31,6.34,0.88
92.15,65.3,204.98,2372.7,0.31,5.96,2.25
94.4,65.1,204.4,2372.3,0.31,5.65,1.08
93.66,64.8,205.4,2386.4,0.3,5.66,4.52
94.87,64.0,204.53,2368.4,0.35,5.89,1.71
68.69,63.9,203.89,2959.8,0.35,5.26,0.27
58.1,-58.49,215.63,2299.99,0.26,17.79,1.47
62.75,-57.83,215.63,2299.99,0.26,17.89,1.39
67.4,-57.0,215.63,2302.57,0.26,17.74,1.63
69.5,-55.93,215.63,2307.39,0.26,17.58,1.02
