GR,SP,CALX,RHOB,NPSS,ILD,ILM,SFL,Binned_FZI_PS
45.81,35.54,199.7,2379.16,0.26,14.53,14.22,15.25,4
58.85,37.94,199.98,2411.51,0.26,14.73,13.58,13.4,4
85.21,39.55,199.28,2420.27,0.28,13.99,12.85,12.16,4
107.48,45.64,199.63,2423.39,0.28,13.17,12.4,11.53,3
55.73,40.89,200.24,2386.76,0.3,11.73,11.68,13.66,3
44.83,42.38,199.98,2362.89,0.29,12.29,12.33,10.28,4
35.66,37.55,199.76,2319.4,0.27,14.74,14.2,11.26,4
49.99,-16.49,193.88,2414.0,0.3,5.39,6.36,5.72,2
44.66,-17.02,193.88,2460.0,0.23,6.38,7.82,8.82,2
35.39,-22.02,193.88,2514.0,0.18,8.13,9.5,29.31,2
25.49,-32.04,192.25,2450.0,0.21,8.44,7.56,10.27,2
25.84,-48.29,189.25,2356.0,0.27,7.93,7.52,5.09,2
30.13,-55.29,189.25,2328.0,0.3,7.89,7.83,6.81,3
33.93,-59.04,189.25,2322.0,0.29,7.98,8.1,9.41,2
35.62,-58.41,189.25,2307.9,0.28,9.97,11.32,11.12,2
35.95,-54.91,189.25,2304.0,0.28,11.22,13.65,16.18,4
35.23,-53.66,189.25,2282.0,0.27,13.01,16.48,30.22,3
33.35,-53.04,189.25,2266.0,0.27,14.7,18.24,40.13,4
32.59,-53.54,189.25,2238.0,0.28,17.16,19.05,28.72,4
32.78,-53.62,189.25,2238.0,0.29,17.05,18.73,25.9,3
36.84,-53.74,189.25,2236.0,0.3,16.95,17.84,21.71,2
50.46,-53.35,189.25,2245.0,0.3,16.5,16.9,18.14,4
53.65,-52.91,189.25,2256.0,0.3,16.02,16.53,15.93,3
66.24,-51.04,189.25,2282.0,0.3,15.5,16.91,18.54,3
127.19,-49.04,189.25,2233.95,0.31,14.84,16.31,20.64,2
165.87,-46.67,189.25,2187.9,0.34,14.12,15.4,19.48,3
175.62,-44.92,189.25,2201.95,0.34,13.43,14.56,16.77,2
84.31,-30.79,189.25,2316.0,0.3,10.85,10.52,15.19,4
60.54,-25.79,191.25,2358.0,0.26,9.49,9.24,11.5,2
57.38,-20.54,192.5,2372.0,0.28,8.78,8.53,7.72,4
83.55,-16.42,191.63,2371.95,0.34,7.0,6.75,6.79,2
101.21,-14.55,192.38,2353.9,0.39,6.3,6.06,5.95,4
51.35,68.92,202.47,2308.41,0.34,2.22,2.64,2.16,4
53.81,64.08,203.43,2336.48,0.24,3.07,4.14,4.72,3
52.71,59.36,203.73,2367.44,0.22,5.08,6.65,8.98,3
55.5,52.95,205.5,2364.58,0.23,10.28,11.44,10.64,3
48.32,41.89,205.8,2341.86,0.23,12.66,14.37,13.08,4
48.78,35.6,205.32,2318.48,0.24,13.48,14.44,14.02,4
52.28,32.92,204.84,2306.4,0.26,14.34,15.41,14.29,4
53.18,29.85,203.13,2305.98,0.27,15.49,16.11,14.74,4
50.1,29.22,199.85,2323.05,0.27,15.56,16.03,15.55,4
50.3,30.66,199.85,2327.99,0.28,15.19,16.13,15.3,4
48.63,31.12,199.02,2318.58,0.29,14.81,16.36,14.76,4
45.65,31.38,196.94,2318.07,0.28,15.22,16.58,15.62,4
40.43,31.29,193.45,2330.83,0.28,14.92,15.66,16.03,4
43.91,28.56,194.2,2313.51,0.27,14.8,16.64,15.07,4
41.81,28.67,192.07,2314.32,0.28,14.93,16.71,15.34,3
49.91,29.15,190.71,2319.45,0.26,14.47,15.33,16.9,4
51.77,26.65,187.98,2299.38,0.27,14.28,15.64,15.02,4
51.7,24.04,185.48,2251.03,0.28,14.06,15.18,14.31,3
48.87,22.13,187.85,2198.22,0.29,13.78,14.71,15.09,3
48.6,20.04,192.85,2233.4,0.28,13.53,14.23,16.0,3
47.91,17.69,196.24,2301.83,0.27,13.57,14.48,14.17,3
49.79,19.57,198.56,2288.42,0.26,13.88,15.26,14.77,4
46.98,24.26,200.45,2346.54,0.27,13.84,16.09,16.27,4
61.04,30.65,203.31,2381.56,0.27,13.79,15.8,17.65,4
87.22,40.26,202.83,2343.3,0.27,13.74,15.03,13.19,4
80.51,42.4,202.53,2325.68,0.31,13.19,14.26,12.2,4
52.53,71.58,201.73,2395.2,0.26,13.35,5.92,10.36,2
53.09,75.15,201.48,2359.9,0.27,13.69,5.66,11.05,2
50.52,77.23,201.48,2325.15,0.28,13.82,5.19,10.99,4
46.91,78.91,201.48,2304.45,0.28,13.88,5.02,10.76,3
44.15,80.2,201.48,2289.25,0.27,14.22,4.41,10.71,3
44.12,81.1,201.48,2284.25,0.27,15.19,4.75,11.45,3
40.52,82.4,201.48,2271.3,0.28,16.9,5.0,13.09,3
38.4,82.6,201.48,2249.15,0.29,16.39,4.84,12.71,4
34.64,82.7,201.48,2210.9,0.29,15.12,3.62,11.84,4
33.15,82.4,201.48,2196.6,0.29,13.89,2.91,10.92,3
34.79,82.0,201.48,2203.6,0.28,13.24,3.1,10.35,4
44.92,80.9,201.48,2236.1,0.27,12.8,4.09,10.16,4
59.07,78.61,201.63,2306.4,0.28,12.23,4.82,9.9,2
83.51,73.47,204.98,2369.3,0.31,10.29,5.73,8.62,4
119.0,69.2,205.45,2388.0,0.32,7.1,2.51,5.96,3
132.11,67.4,203.88,2386.8,0.3,6.81,4.15,5.68,3
111.47,66.2,205.28,2374.85,0.3,6.84,5.19,5.83,4
98.61,65.8,205.29,2374.25,0.33,6.63,4.2,5.41,3
91.56,65.6,204.74,2384.15,0.32,6.58,5.61,5.24,4
89.27,65.2,206.43,2373.4,0.31,6.34,4.95,5.29,2
92.15,65.3,204.98,2372.7,0.31,5.96,3.69,5.1,4
94.4,65.1,204.4,2372.3,0.31,5.65,5.09,4.97,3
93.66,64.8,205.4,2386.4,0.3,5.66,4.49,4.83,4
94.87,64.0,204.53,2368.4,0.35,5.89,5.76,4.94,3
68.69,63.9,203.89,2959.8,0.35,5.26,6.52,4.11,2
58.1,-58.49,215.63,2299.99,0.26,17.79,18.49,18.64,3
62.75,-57.83,215.63,2299.99,0.26,17.89,18.48,18.44,3
67.4,-57.0,215.63,2302.57,0.26,17.74,18.18,18.11,3
69.5,-55.93,215.63,2307.39,0.26,17.58,17.87,17.78,3
71.6,-54.83,215.63,2318.55,0.27,17.43,17.66,17.25,3
73.49,-53.68,215.63,2332.4,0.27,17.28,17.44,16.73,3
75.39,-52.42,215.89,2348.8,0.27,17.22,17.04,16.23,3
56.9,-52.59,215.76,2398.41,0.28,17.57,17.54,17.55,3
53.99,-57.78,215.38,2374.57,0.27,18.23,18.4,19.66,2
53.99,-59.48,215.38,2364.68,0.27,18.49,18.72,20.32,2
53.99,-60.09,215.5,2357.47,0.28,18.74,19.05,20.68,2
55.39,-60.41,215.63,2350.77,0.28,18.98,19.38,21.04,2
56.79,-60.42,215.63,2344.74,0.28,19.23,19.65,21.08,2
62.69,-60.38,215.63,2339.0,0.29,19.79,20.26,21.0,3
62.94,-60.16,215.63,2339.58,0.29,20.11,20.62,20.89,3
63.2,-59.53,215.89,2342.21,0.29,20.16,20.76,20.68,3
63.09,-57.51,216.65,2349.03,0.29,20.06,20.91,20.3,3
63.59,-55.44,217.28,2364.7,0.29,19.79,20.62,20.02,3
64.29,-54.66,217.4,2376.59,0.29,19.67,20.32,19.91,2
60.4,-45.13,218.43,2391.62,0.28,16.9,18.27,17.68,4
60.65,-47.9,217.68,2368.83,0.3,16.74,18.68,18.11,3
57.69,-51.13,219.2,2356.74,0.29,15.47,19.12,18.58,3
59.39,-51.21,218.44,2369.2,0.28,15.16,18.65,18.43,3
63.04,-51.07,217.68,2385.32,0.28,14.85,18.17,18.27,3
66.69,-50.63,217.54,2402.14,0.28,14.58,17.68,17.72,2
80.6,-48.69,217.4,2421.97,0.3,13.6,16.1,15.89,2
84.89,-45.4,217.28,2428.95,0.32,12.57,14.6,14.32,3
21.28,-105.64,193.25,2264.47,0.2,28.94,31.84,44.92,2
21.02,-107.43,191.75,2261.55,0.22,24.94,26.56,38.22,2
21.83,-107.92,191.5,2258.25,0.23,23.73,24.94,34.41,3
23.97,-108.42,191.5,2260.3,0.24,21.59,22.18,28.81,4
25.29,-108.32,191.75,2265.65,0.25,20.83,21.02,26.93,4
27.35,-107.03,192.0,2279.71,0.26,19.54,19.19,25.05,2
28.07,-105.45,192.75,2300.65,0.26,19.01,18.66,25.39,4
29.59,-100.1,193.75,2342.95,0.25,18.4,17.82,28.94,4
31.62,-93.21,194.25,2364.36,0.25,17.65,17.01,34.09,2
34.39,-88.32,194.25,2360.32,0.25,17.57,16.25,26.56,2
37.91,-82.98,194.5,2357.01,0.26,18.23,15.95,20.09,2
41.42,-79.01,196.5,2392.08,0.27,18.58,16.1,15.58,2
44.39,-78.31,198.75,2449.69,0.3,20.09,17.98,15.09,4
46.4,-81.6,199.5,2479.75,0.31,22.28,22.18,20.64,2
42.46,-94.26,193.0,2449.74,0.34,32.8,33.39,61.1,4
29.82,-101.19,190.5,2311.93,0.3,57.07,48.43,59.46,4
30.39,-102.97,191.25,2297.57,0.31,57.33,54.28,63.93,3
30.42,-104.36,192.0,2280.3,0.33,57.82,56.52,69.95,3
29.78,-105.35,192.5,2261.75,0.32,58.56,57.0,76.48,3
29.46,-106.14,192.5,2245.55,0.32,58.0,57.48,81.1,4
29.18,-106.83,192.5,2256.53,0.33,57.18,57.7,81.46,3
27.45,-107.23,192.5,2260.08,0.33,54.66,55.39,70.02,3
19.8,-107.23,192.75,2200.18,0.33,49.07,49.97,55.12,4
18.23,-107.03,192.75,2194.21,0.33,45.4,46.23,48.15,4
16.65,-107.03,192.25,2198.28,0.32,42.22,42.99,46.62,4
17.6,-107.33,192.5,2226.52,0.31,39.28,40.0,46.59,4
17.27,-106.84,192.5,2249.9,0.3,36.33,37.0,43.92,2
17.1,-105.85,192.5,2254.21,0.3,35.17,35.82,42.56,4
19.02,-103.28,193.75,2261.87,0.3,33.57,34.51,40.3,4
21.21,-100.5,194.5,2264.27,0.3,32.21,34.49,38.48,2
26.06,-93.76,195.0,2265.67,0.29,28.34,34.62,37.24,4
30.87,-87.03,195.0,2263.71,0.28,24.29,34.43,43.24,4
34.64,-82.38,195.0,2272.31,0.26,20.09,21.69,56.28,4
36.27,-80.5,195.49,2281.88,0.26,18.66,19.1,46.91,4
41.13,-72.9,198.24,2470.7,0.26,14.88,15.16,13.2,2
50.25,-69.8,198.49,2494.53,0.3,12.26,12.48,11.65,2
53.08,-67.72,197.73,2486.96,0.31,11.02,11.23,13.88,3
53.93,-66.04,197.48,2480.66,0.31,10.82,11.02,13.26,4
53.76,-59.11,199.5,2470.38,0.31,9.95,10.14,10.47,2
61.31,-58.61,200.0,2449.93,0.33,9.51,10.0,11.23,4
85.65,-55.15,199.75,2426.52,0.34,9.51,9.91,10.23,2
