GR,SP,CALX,RHOB,NPSS,ILD,ILM,SFL,Binned_FZI_PS
74.39,-16.6,275.25,2296.0,0.45,2.82,3.16,3.31,3
76.65,-16.5,246.29,2272.5,0.45,2.76,3.03,3.17,3
78.0,-16.6,236.63,2345.0,0.44,2.7,2.85,2.99,2
77.85,-16.5,224.0,2343.5,0.45,2.73,2.88,2.9,3
78.3,-16.7,235.4,2330.0,0.46,2.82,2.93,3.06,2
82.35,-17.4,227.23,2351.49,0.46,2.97,3.23,3.93,2
80.1,-18.1,236.39,2285.0,0.44,3.29,3.65,3.5,3
75.9,-19.7,240.1,2242.0,0.46,3.58,4.0,4.39,3
75.45,-20.99,229.46,2246.5,0.44,3.78,4.25,5.31,2
67.94,-18.69,200.0,2383.0,0.27,19.28,19.91,20.19,4
66.62,-20.2,200.02,2352.0,0.28,18.67,19.28,19.82,4
60.15,-22.21,200.09,2332.0,0.28,18.41,19.02,19.46,4
50.11,-24.43,200.16,2305.0,0.27,19.28,19.91,20.56,4
51.9,-26.35,200.21,2295.5,0.27,19.73,20.37,19.91,2
54.72,-27.88,200.25,2332.0,0.28,20.28,20.94,19.91,4
45.74,-29.6,200.0,2294.5,0.29,20.94,21.73,22.97,2
44.12,-30.5,200.0,2262.0,0.29,21.24,22.13,23.28,4
43.97,-31.1,200.0,2256.5,0.29,21.43,22.24,23.5,2
43.82,-31.3,200.0,2264.0,0.28,21.63,22.34,23.72,4
47.67,-31.7,200.0,2313.0,0.28,21.14,22.75,23.94,4
51.54,-31.5,200.0,2331.5,0.28,20.75,22.65,23.61,4
54.51,-31.3,200.0,2350.0,0.28,20.56,21.93,22.65,4
60.74,-30.3,199.02,2384.5,0.29,19.73,19.91,20.28,3
60.59,-29.9,198.78,2388.0,0.29,19.46,19.28,19.73,2
59.26,-28.99,198.78,2395.0,0.29,18.93,18.67,19.37,2
62.06,-27.27,198.83,2394.5,0.29,18.17,17.92,18.59,4
66.03,-25.25,198.88,2390.0,0.28,17.6,16.89,17.2,3
67.65,-24.24,199.15,2387.5,0.28,17.2,16.51,16.89,2
67.65,-23.23,199.18,2386.0,0.28,16.89,16.21,16.66,3
65.15,-22.42,199.47,2381.0,0.28,16.44,15.56,16.14,2
66.47,-22.42,199.75,2387.5,0.27,15.71,14.87,15.64,2
76.82,-21.72,199.75,2420.0,0.27,15.28,14.4,15.35,3
87.27,-19.8,200.0,2446.5,0.28,14.8,14.01,14.4,2
77.9,-21.52,200.98,2378.0,0.29,15.22,14.47,15.08,4
78.24,-22.32,200.0,2362.0,0.29,15.87,15.16,15.73,2
78.7,-22.32,199.75,2378.0,0.29,16.02,15.45,15.81,3
79.51,-22.32,198.07,2384.0,0.29,16.04,15.04,15.61,2
79.36,-22.42,197.85,2390.0,0.29,15.89,14.9,15.53,2
81.32,-22.63,197.63,2396.0,0.3,15.74,14.76,15.25,3
97.03,-22.42,198.21,2380.0,0.32,15.09,14.15,14.61,2
109.39,-21.92,198.76,2382.0,0.32,14.68,13.95,14.21,2
66.62,-24.55,193.81,2312.5,0.3,16.17,15.16,15.95,2
57.7,-26.94,193.1,2285.5,0.28,18.83,18.32,18.66,3
58.77,-27.33,193.36,2277.5,0.28,19.36,18.49,18.92,4
59.08,-27.32,193.61,2283.0,0.28,19.36,17.65,18.75,2
59.26,-26.6,193.63,2306.5,0.29,18.15,16.94,17.49,3
60.29,-26.4,193.63,2309.5,0.29,17.33,16.25,16.63,2
63.97,-26.6,193.14,2298.5,0.28,16.47,16.02,16.4,3
60.0,-26.1,192.65,2317.5,0.27,16.25,15.44,15.8,3
59.11,-25.8,192.89,2322.0,0.27,16.1,15.09,15.51,2
63.83,-24.79,195.38,2336.5,0.27,15.36,14.14,14.53,3
